Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2015	pyruvate metabolic process (GO:0006090)	5/71	1.9495382124799613e-07	5.337539031863593e-05	0	0	47.10464015151515	727.7903896529172	LDHA;PKM;PGK1;GAPDH;SLC16A3
GO_Biological_Process_2015	viral transcription (GO:0019083)	5/84	4.543149841792383e-07	5.337539031863593e-05	0	0	39.32753164556962	574.3579559432698	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	translational termination (GO:0006415)	5/89	6.067683640416921e-07	5.337539031863593e-05	0	0	36.97730654761905	529.3345334174518	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	glycolytic process (GO:0006096)	4/44	1.2759145689343828e-06	5.337539031863593e-05	0	0	60.37272727272728	819.3694372919923	LDHA;PKM;PGK1;GAPDH
GO_Biological_Process_2015	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	5/108	1.5886886005319158e-06	5.337539031863593e-05	0	0	30.12742718446602	402.2795342827204	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	cotranslational protein targeting to membrane (GO:0006613)	5/110	1.7397072193372007e-06	5.337539031863593e-05	0	0	29.55059523809524	391.8938984585356	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	protein targeting to ER (GO:0045047)	5/111	1.8193392647277112e-06	5.337539031863593e-05	0	0	29.27034198113208	386.8671977719862	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	cellular protein complex disassembly (GO:0043624)	5/113	1.987208506403976e-06	5.337539031863593e-05	0	0	28.72540509259259	377.1295142375612	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	translational elongation (GO:0006414)	5/114	2.075592964059764e-06	5.337539031863593e-05	0	0	28.460435779816518	372.41230660648256	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	establishment of protein localization to endoplasmic reticulum (GO:0072599)	5/115	2.1670440492393607e-06	5.337539031863593e-05	0	0	28.20028409090909	367.7922366900444	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	5/117	2.3594531780483696e-06	5.337539031863593e-05	0	0	27.693917410714285	358.8323219586965	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	protein localization to endoplasmic reticulum (GO:0070972)	5/118	2.460567638802365e-06	5.337539031863593e-05	0	0	27.447455752212388	354.4871432108349	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	viral life cycle (GO:0019058)	5/118	2.460567638802365e-06	5.337539031863593e-05	0	0	27.447455752212388	354.4871432108349	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	protein complex disassembly (GO:0043241)	5/132	4.2695284206058925e-06	8.600050104363298e-05	0	0	24.40452755905512	301.7377538905205	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	translational initiation (GO:0006413)	5/139	5.498205255382356e-06	0.0001033662588011883	0	0	23.121501865671643	280.02656312109946	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	macromolecular complex disassembly (GO:0032984)	5/142	6.102728865170698e-06	0.00010756059624863356	0	0	22.6117700729927	271.4944250329629	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	protein targeting to membrane (GO:0006612)	5/156	9.646959600118703e-06	0.00016002603571961616	0	0	20.500827814569536	236.76134939284916	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	nuclear-transcribed mRNA catabolic process (GO:0000956)	5/183	2.0871359351627296e-05	0.00032698462984216096	0	0	17.36745084269663	187.1713224750413	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	mRNA catabolic process (GO:0006402)	5/193	2.694841141530984e-05	0.0003999711589009145	0	0	16.43533909574468	172.92583715318295	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	cellular component disassembly (GO:0022411)	6/350	4.045931102820239e-05	0.0005704762854976536	0	0	11.038447111777945	111.65625205709952	RPS27;RPL10;HMGB1;RPS2;RPL29;RPL9
GO_Biological_Process_2015	RNA catabolic process (GO:0006401)	5/220	5.035080056832283e-05	0.0006761393219174781	0	0	14.351744186046512	142.03197948794295	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	single-organism carbohydrate catabolic process (GO:0044724)	4/113	5.525224390732825e-05	0.0007082333082666621	0	0	22.07839866555463	216.44782458648064	LDHA;PKM;PGK1;GAPDH
GO_Biological_Process_2015	establishment of protein localization to membrane (GO:0090150)	5/229	6.090287009225293e-05	0.0007467221463484924	0	0	13.768833705357142	133.64347030637816	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	carbohydrate catabolic process (GO:0016052)	4/120	6.984335580414267e-05	0.0008206594306986764	0	0	20.73876698014629	198.4545620141565	LDHA;PKM;PGK1;GAPDH
GO_Biological_Process_2015	translation (GO:0006412)	5/264	0.00011904975871111796	0.0013428812782614	0	0	11.887065637065636	107.41115673798988	RPS27;RPL10;RPS2;RPL29;RPL9
