Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	4/89	2.069184748438231e-06	0.00012794116785660713	0	0	55.069896193771626	720.7743990858512	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	cotranslational protein targeting to membrane (GO:0006613)	4/93	2.467636860541964e-06	0.00012794116785660713	0	0	52.58426966292135	678.9812150218728	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	protein targeting to ER (GO:0045047)	4/97	2.920374648829528e-06	0.00012794116785660713	0	0	50.31246046805819	641.1718655656545	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	viral gene expression (GO:0019080)	4/110	4.823110870843017e-06	0.00012794116785660713	0	0	44.11320754716981	540.0379200277247	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	4/112	5.181664568432668e-06	0.00012794116785660713	0	0	43.29193899782135	526.879530715206	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	viral transcription (GO:0019083)	4/113	5.368160889088411e-06	0.00012794116785660713	0	0	42.89260658391797	520.5028612258028	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	cytoplasmic translation (GO:0002181)	3/54	2.3906724495892608e-05	0.00046878987817353167	0	0	65.12418300653594	693.0092755644479	RPL30;RPS20;RPS21
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process (GO:0000956)	4/174	2.9504258066865628e-05	0.00046878987817353167	0	0	27.417301038062284	285.9892081198856	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	peptide biosynthetic process (GO:0043043)	4/174	2.9504258066865628e-05	0.00046878987817353167	0	0	27.417301038062284	285.9892081198856	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	rRNA metabolic process (GO:0016072)	4/200	5.082545165940558e-05	0.0006609574571845594	0	0	23.74909963985594	234.8100391955592	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	rRNA processing (GO:0006364)	4/202	5.283296497628813e-05	0.0006609574571845594	0	0	23.5068330362448	231.5041121016968	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	gene expression (GO:0010467)	5/411	5.546496144206093e-05	0.0006609574571845594	0	0	15.06542487684729	147.6375339590102	RPL30;PABPN1;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	viral process (GO:0016032)	4/220	7.36082209955741e-05	0.0007922811491241229	0	0	21.528322440087145	204.8797452538548	RPL30;RPL13A;RPS20;RPS21
GO_Biological_Process_2018	ribosome biogenesis (GO:0042254)	4/226	8.169769218548195e-05	0.0007922811491241229	0	0	20.94011658717541	197.09852916912268	RPL30;RPL13A;RPS20;RPS21
